,gouvernorat,emploi10Mois2017,emploi10Mois2018,evolEmploi%
0,Ariana,2045,1584,-22.5
1,B̩ja,2518,3018,19.9
2,Ben Arous,3528,2814,-20.2
3,Bizerte,3744,2648,-29.3
4,Gabes,735,660,-10.2
5,Gafsa,612,1402,129.1
6,Jendouba,1960,808,-58.8
7,Kairouan,1564,1321,-15.5
8,Kasserine,1784,987,-44.7
9,Kebili,1080,760,-29.6
10,Le Kef,221,609,175.6
11,Mahdia,1812,2355,30.0
12,La Manouba,1746,1821,4.3
13,Medenine,638,1102,72.7
14,Monastir,4109,7115,73.2
15,Nabeul,4216,4312,2.3
16,Sfax,3805,3952,3.9
17,Sidi Bouzid,941,943,0.2
18,Siliana,835,1586,89.9
19,Sousse,3302,5425,64.3
20,Tataouine,427,287,-32.8
21,Tozeur,2055,1553,-24.4
22,Tunis,1563,3051,95.2
23,Zaghouan,2521,3594,42.6
